epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.638,0.85404,1.56269,1.28104,0.52759,0.39682,0.38374,0.26171,0.97546,1.96806,1.26913,0.000332317,0.000332317,0.000332317
2,315.545,0.9523,1.49921,1.32538,0.55869,0.37157,0.36312,0.28128,0.78303,1.93691,1.10321,0.00065906,0.00065906,0.00065906
3,467.788,0.92976,1.46014,1.30436,0.32761,0.63871,0.4371,0.34242,0.74647,1.60233,1.04126,0.000979204,0.000979204,0.000979204
4,618.698,0.85669,1.37702,1.25019,0.35724,0.65849,0.51733,0.42197,0.60403,1.44759,0.94086,0.0009703,0.0009703,0.0009703
5,769.51,0.82314,1.29995,1.22442,0.45325,0.68201,0.54405,0.45836,0.59428,1.23388,0.94007,0.0009604,0.0009604,0.0009604
6,920.102,0.77335,1.2517,1.19881,0.70179,0.52164,0.56916,0.44918,0.66804,1.24356,1.01153,0.0009505,0.0009505,0.0009505
7,1068.76,0.74509,1.19856,1.17627,0.37922,0.67548,0.58041,0.50352,0.53447,1.27012,0.83437,0.0009406,0.0009406,0.0009406
8,1213.04,0.73007,1.15472,1.16831,0.56535,0.70527,0.67385,0.55766,0.67121,1.01291,0.91414,0.0009307,0.0009307,0.0009307
9,1357.24,0.71672,1.13561,1.16164,0.61109,0.71429,0.70938,0.62096,0.4945,0.94034,0.8365,0.0009208,0.0009208,0.0009208
10,1501.26,0.68925,1.07888,1.14345,0.5132,0.66497,0.67913,0.60288,0.47856,1.0586,0.80256,0.0009109,0.0009109,0.0009109
11,1644.53,0.68566,1.06322,1.13733,0.66733,0.68456,0.74964,0.68059,0.42395,0.89207,0.76369,0.000901,0.000901,0.000901
12,1794.73,0.67647,1.04906,1.13577,0.67446,0.721,0.77216,0.68531,0.46798,0.83368,0.79618,0.0008911,0.0008911,0.0008911
13,1943.62,0.66844,1.01464,1.13094,0.64424,0.7109,0.74246,0.65936,0.45169,0.81962,0.80637,0.0008812,0.0008812,0.0008812
14,2087.47,0.6622,0.99784,1.12107,0.6394,0.7401,0.75337,0.674,0.42231,0.86271,0.77254,0.0008713,0.0008713,0.0008713
15,2230.17,0.64443,0.98237,1.11601,0.71169,0.75558,0.77061,0.69848,0.44142,0.75099,0.77507,0.0008614,0.0008614,0.0008614
16,2374.12,0.63139,0.95583,1.11084,0.57763,0.81342,0.78762,0.70081,0.44349,0.80806,0.80186,0.0008515,0.0008515,0.0008515
17,2518.02,0.62062,0.92496,1.10223,0.673,0.72942,0.75319,0.67224,0.43855,0.82649,0.78801,0.0008416,0.0008416,0.0008416
18,2662.39,0.62932,0.92363,1.1075,0.64641,0.7078,0.71357,0.65224,0.41387,0.89905,0.74728,0.0008317,0.0008317,0.0008317
19,2807.92,0.6128,0.90458,1.10025,0.7092,0.74724,0.77441,0.70641,0.40621,0.80566,0.75221,0.0008218,0.0008218,0.0008218
20,2954.48,0.60071,0.87205,1.09089,0.74272,0.7724,0.803,0.72926,0.4074,0.73967,0.75568,0.0008119,0.0008119,0.0008119
21,3104.57,0.61546,0.88158,1.1007,0.65146,0.80043,0.80453,0.72936,0.4388,0.69277,0.75951,0.000802,0.000802,0.000802
22,3251.68,0.60353,0.87685,1.09452,0.76146,0.74147,0.82561,0.75775,0.38803,0.68946,0.73141,0.0007921,0.0007921,0.0007921
23,3398.65,0.58968,0.85933,1.08711,0.67791,0.76636,0.75028,0.6933,0.38272,0.7862,0.73827,0.0007822,0.0007822,0.0007822
24,3542.08,0.58273,0.82791,1.08112,0.71679,0.77297,0.81341,0.75069,0.38418,0.74497,0.7366,0.0007723,0.0007723,0.0007723
25,3689.16,0.57966,0.82772,1.0815,0.74486,0.81695,0.83721,0.7708,0.3685,0.63964,0.71807,0.0007624,0.0007624,0.0007624
26,3837.01,0.58294,0.83376,1.08345,0.75206,0.78421,0.84172,0.77672,0.3855,0.6341,0.74054,0.0007525,0.0007525,0.0007525
27,3979.76,0.57761,0.80293,1.07628,0.74486,0.84653,0.87259,0.80431,0.36905,0.61727,0.72198,0.0007426,0.0007426,0.0007426
28,4122.76,0.57209,0.78966,1.07399,0.76811,0.81653,0.86188,0.79977,0.36437,0.5848,0.71329,0.0007327,0.0007327,0.0007327
29,4265.56,0.56557,0.77693,1.06743,0.82427,0.79382,0.87378,0.80794,0.36766,0.60809,0.72191,0.0007228,0.0007228,0.0007228
30,4409.9,0.56394,0.76752,1.06999,0.83005,0.79394,0.87456,0.81209,0.36333,0.60141,0.71879,0.0007129,0.0007129,0.0007129
31,4554.34,0.55973,0.75427,1.07104,0.82167,0.81728,0.88419,0.82128,0.34918,0.54872,0.70478,0.000703,0.000703,0.000703
32,4699.45,0.54819,0.73247,1.06203,0.81386,0.83453,0.88622,0.82575,0.34811,0.54017,0.70716,0.0006931,0.0006931,0.0006931
33,4843.26,0.54838,0.72809,1.0645,0.84764,0.81295,0.88801,0.82461,0.35143,0.5655,0.70387,0.0006832,0.0006832,0.0006832
34,4984.31,0.54615,0.71451,1.06248,0.81835,0.80465,0.86265,0.8038,0.35356,0.56009,0.71711,0.0006733,0.0006733,0.0006733
35,172.726,0.56289,0.71813,1.06728,0.84581,0.78884,0.88965,0.82756,0.34772,0.57578,0.70651,0.0006634,0.0006634,0.0006634
36,342.139,0.55018,0.69337,1.06587,0.75516,0.83439,0.87662,0.82615,0.34079,0.61529,0.69302,0.0006535,0.0006535,0.0006535
37,495.981,0.54664,0.69642,1.06295,0.84715,0.84676,0.90722,0.84582,0.34994,0.50881,0.7024,0.0006436,0.0006436,0.0006436
