epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.863,0.86712,1.51315,1.29923,0.24216,0.67983,0.39245,0.25102,1.05948,2.4586,1.41227,0.000369135,0.000369135,0.000369135
2,283.451,0.9435,1.41774,1.31953,0.425,0.69088,0.50827,0.39013,0.79678,1.54838,1.10927,0.000732147,0.000732147,0.000732147
3,417.307,0.91741,1.37628,1.29595,0.31434,0.66677,0.49148,0.36654,0.82143,1.67153,1.13291,0.00108783,0.00108783,0.00108783
4,552.531,0.8625,1.30601,1.25839,0.52028,0.59803,0.59211,0.47714,0.66318,1.38133,0.98881,0.001078,0.001078,0.001078
5,688.724,0.8089,1.21681,1.2234,0.47936,0.77743,0.6526,0.51878,0.69894,1.10893,1.00982,0.001067,0.001067,0.001067
6,824.294,0.77553,1.18294,1.19893,0.48691,0.72047,0.61566,0.52666,0.54739,1.22506,0.87901,0.00105601,0.00105601,0.00105601
7,958.642,0.74852,1.12737,1.18623,0.54455,0.73848,0.70432,0.62205,0.57255,0.98721,0.86912,0.00104501,0.00104501,0.00104501
8,1094.01,0.72636,1.07768,1.16962,0.6057,0.67777,0.71206,0.63748,0.47281,0.99096,0.79919,0.00103401,0.00103401,0.00103401
9,1227.68,0.69599,1.05934,1.1532,0.65036,0.69665,0.71165,0.62392,0.51667,1.01044,0.82478,0.00102301,0.00102301,0.00102301
10,1361.06,0.6894,1.04094,1.15095,0.626,0.7286,0.74935,0.67006,0.45804,0.90009,0.81132,0.00101201,0.00101201,0.00101201
11,1497.47,0.67744,1.00064,1.14112,0.65808,0.78267,0.77399,0.68701,0.47671,0.83382,0.81714,0.00100101,0.00100101,0.00100101
12,1629.55,0.67038,0.99906,1.13473,0.56679,0.76995,0.75091,0.67793,0.437,1.07371,0.77143,0.000990012,0.000990012,0.000990012
13,1764,0.65554,0.95639,1.12439,0.68072,0.79302,0.81561,0.72867,0.45176,0.80483,0.7915,0.000979013,0.000979013,0.000979013
14,1898.09,0.65305,0.94231,1.12459,0.67667,0.79215,0.80713,0.72831,0.4554,0.76654,0.79645,0.000968014,0.000968014,0.000968014
15,2032.6,0.63282,0.92497,1.1096,0.74627,0.80994,0.84808,0.77149,0.40267,0.69146,0.74919,0.000957015,0.000957015,0.000957015
16,2168.94,0.62327,0.90079,1.1117,0.65449,0.76938,0.78381,0.71245,0.43113,0.92294,0.76298,0.000946016,0.000946016,0.000946016
17,2302.02,0.6284,0.89049,1.11125,0.73188,0.76119,0.83261,0.75373,0.42743,0.73538,0.75844,0.000935018,0.000935018,0.000935018
18,2436.46,0.61205,0.86881,1.09685,0.74091,0.76133,0.8228,0.75738,0.40453,0.76024,0.73919,0.000924019,0.000924019,0.000924019
19,2571.43,0.61341,0.85367,1.10309,0.73312,0.7689,0.81983,0.73552,0.44998,0.76246,0.77132,0.00091302,0.00091302,0.00091302
20,2705.33,0.60421,0.85908,1.09413,0.80453,0.80129,0.88115,0.81477,0.38343,0.65353,0.72154,0.000902021,0.000902021,0.000902021
21,2841.82,0.60195,0.82362,1.09364,0.79089,0.81643,0.87664,0.80863,0.37492,0.62066,0.71579,0.000891022,0.000891022,0.000891022
22,2974.48,0.59391,0.81546,1.09163,0.74003,0.77253,0.85627,0.78629,0.40355,0.77982,0.75388,0.000880023,0.000880023,0.000880023
23,3108.84,0.58652,0.80369,1.08928,0.82714,0.78204,0.87806,0.81672,0.39482,0.61527,0.73298,0.000869024,0.000869024,0.000869024
24,3245.58,0.58216,0.79215,1.08361,0.7582,0.81833,0.8719,0.81086,0.36915,0.64648,0.71968,0.000858025,0.000858025,0.000858025
25,3379.53,0.5751,0.7783,1.082,0.76595,0.86848,0.86238,0.80236,0.36536,0.61261,0.70729,0.000847026,0.000847026,0.000847026
26,3514.75,0.57296,0.76571,1.07842,0.85273,0.83288,0.88956,0.82278,0.39155,0.56148,0.72057,0.000836027,0.000836027,0.000836027
27,3649.3,0.5678,0.75209,1.08161,0.82005,0.83739,0.89573,0.83278,0.36303,0.57395,0.72016,0.000825029,0.000825029,0.000825029
28,3784.99,0.57039,0.75377,1.07673,0.76572,0.84931,0.8847,0.82624,0.37412,0.63788,0.72085,0.00081403,0.00081403,0.00081403
29,3918.3,0.56282,0.74935,1.07287,0.84494,0.83293,0.90992,0.85286,0.35093,0.55476,0.69364,0.000803031,0.000803031,0.000803031
30,4053.46,0.56153,0.73361,1.0707,0.83396,0.80869,0.89762,0.83938,0.38263,0.60571,0.71905,0.000792032,0.000792032,0.000792032
31,4187.32,0.55111,0.7145,1.06779,0.82406,0.86594,0.90497,0.85435,0.34334,0.56914,0.69404,0.000781033,0.000781033,0.000781033
32,4324.08,0.5558,0.7125,1.06781,0.86152,0.85657,0.92368,0.86741,0.33993,0.48,0.69018,0.000770034,0.000770034,0.000770034
33,4458.45,0.54255,0.6864,1.06063,0.77777,0.87297,0.90523,0.84468,0.35217,0.55656,0.7019,0.000759035,0.000759035,0.000759035
34,4593.49,0.54066,0.70247,1.05965,0.75918,0.75943,0.8708,0.80677,0.37103,0.7414,0.71799,0.000748036,0.000748036,0.000748036
35,4726.22,0.54455,0.68102,1.06195,0.86021,0.86374,0.92388,0.86131,0.3504,0.49671,0.69378,0.000737037,0.000737037,0.000737037
36,4858.61,0.54116,0.66214,1.06015,0.90116,0.8318,0.92274,0.86788,0.34826,0.46913,0.6841,0.000726038,0.000726038,0.000726038
37,4993.7,0.5392,0.65026,1.0578,0.84131,0.85501,0.90542,0.8453,0.36364,0.58025,0.70952,0.00071504,0.00071504,0.00071504
38,5125.87,0.52419,0.63196,1.05144,0.85512,0.84579,0.91501,0.86186,0.34096,0.53284,0.68688,0.000704041,0.000704041,0.000704041
39,5260.81,0.5226,0.63125,1.04862,0.88463,0.81981,0.92014,0.86578,0.36244,0.50533,0.70486,0.000693042,0.000693042,0.000693042
40,5393.68,0.52321,0.6184,1.05226,0.8718,0.85124,0.9247,0.86777,0.34062,0.51559,0.68562,0.000682043,0.000682043,0.000682043
41,5528.32,0.51265,0.61401,1.04592,0.88626,0.8624,0.92581,0.87331,0.33752,0.47461,0.68294,0.000671044,0.000671044,0.000671044
42,5662.52,0.51508,0.60956,1.0504,0.88998,0.87681,0.93335,0.87234,0.3445,0.45785,0.7036,0.000660045,0.000660045,0.000660045
43,5795.85,0.51528,0.60196,1.04712,0.90632,0.8657,0.93327,0.88657,0.32606,0.44178,0.67293,0.000649046,0.000649046,0.000649046
44,5931.28,0.50745,0.59659,1.04215,0.88478,0.87895,0.93629,0.88575,0.32523,0.45539,0.67049,0.000638047,0.000638047,0.000638047
45,6063.94,0.50315,0.58274,1.04113,0.87382,0.87517,0.9347,0.88621,0.34313,0.46533,0.67812,0.000627048,0.000627048,0.000627048
46,6198.81,0.49707,0.56234,1.03765,0.90264,0.88801,0.93475,0.87947,0.33499,0.42764,0.69007,0.000616049,0.000616049,0.000616049
47,6331.12,0.50267,0.57549,1.04023,0.92286,0.8447,0.93338,0.8846,0.32291,0.43502,0.67601,0.000605051,0.000605051,0.000605051
48,6465.83,0.49406,0.56818,1.03638,0.88107,0.88316,0.93595,0.8859,0.32559,0.43311,0.66572,0.000594052,0.000594052,0.000594052
49,156.263,0.51606,0.59017,1.04775,0.91199,0.90503,0.94829,0.90104,0.3184,0.4028,0.67325,0.000583053,0.000583053,0.000583053
50,314.652,0.49794,0.55277,1.03638,0.87686,0.87089,0.93613,0.89045,0.3229,0.47359,0.67656,0.000572054,0.000572054,0.000572054
51,463.737,0.50116,0.56354,1.04032,0.91575,0.86544,0.94361,0.89234,0.32069,0.43563,0.67532,0.000561055,0.000561055,0.000561055
52,614.4,0.49472,0.54415,1.04014,0.88682,0.88322,0.94352,0.8908,0.32072,0.45235,0.67743,0.000550056,0.000550056,0.000550056
53,765.501,0.48774,0.53686,1.03305,0.88872,0.8818,0.94308,0.88948,0.31834,0.42193,0.66978,0.000539057,0.000539057,0.000539057
54,918.885,0.48578,0.53437,1.03104,0.90613,0.88656,0.94765,0.90047,0.31746,0.39758,0.67254,0.000528058,0.000528058,0.000528058
55,1071.53,0.48186,0.51979,1.02887,0.90008,0.86456,0.94174,0.89693,0.30711,0.41411,0.65802,0.000517059,0.000517059,0.000517059
56,1221.64,0.482,0.51161,1.02953,0.90658,0.87833,0.94991,0.90205,0.31497,0.40356,0.66856,0.00050606,0.00050606,0.00050606
57,1373.37,0.47211,0.50638,1.02737,0.90041,0.87383,0.94673,0.90059,0.32824,0.43687,0.67943,0.000495062,0.000495062,0.000495062
58,1525.35,0.4718,0.50487,1.02996,0.88877,0.90735,0.94416,0.90057,0.31437,0.41464,0.664,0.000484063,0.000484063,0.000484063
59,1677.45,0.46782,0.48335,1.02129,0.91817,0.88124,0.95104,0.91159,0.29998,0.39221,0.65747,0.000473064,0.000473064,0.000473064
60,1828.48,0.46096,0.48022,1.01952,0.89641,0.88291,0.95068,0.90991,0.29944,0.41038,0.65472,0.000462065,0.000462065,0.000462065
61,1978.38,0.46163,0.48,1.01884,0.88018,0.90636,0.9505,0.90485,0.30586,0.40477,0.6563,0.000451066,0.000451066,0.000451066
62,2131.69,0.45891,0.47762,1.01761,0.92691,0.86115,0.95125,0.90968,0.30868,0.39886,0.65791,0.000440067,0.000440067,0.000440067
63,2284.4,0.4553,0.46316,1.01555,0.87946,0.9055,0.95184,0.91042,0.31181,0.41696,0.67028,0.000429068,0.000429068,0.000429068
64,2437.52,0.4528,0.45609,1.02004,0.92642,0.85654,0.95132,0.90607,0.30073,0.41095,0.65456,0.000418069,0.000418069,0.000418069
65,2590.1,0.45031,0.44992,1.01858,0.91359,0.88143,0.94617,0.90487,0.3014,0.41551,0.65187,0.00040707,0.00040707,0.00040707
66,2744.3,0.44106,0.44341,1.00981,0.91667,0.8951,0.95061,0.9084,0.29567,0.38323,0.64777,0.000396071,0.000396071,0.000396071
67,2899.49,0.44929,0.44218,1.01398,0.90109,0.88942,0.95068,0.90559,0.30031,0.40318,0.65471,0.000385073,0.000385073,0.000385073
68,3053.52,0.44101,0.43539,1.00975,0.89811,0.89461,0.94707,0.90417,0.30798,0.40983,0.66321,0.000374074,0.000374074,0.000374074
69,3209.55,0.43681,0.42955,1.00435,0.89812,0.89913,0.94905,0.90656,0.30022,0.39999,0.65645,0.000363075,0.000363075,0.000363075
70,3368.87,0.43571,0.42291,1.00772,0.90823,0.90753,0.94613,0.90792,0.30107,0.38082,0.65264,0.000352076,0.000352076,0.000352076
71,3527.99,0.43368,0.4231,1.0074,0.92838,0.88283,0.94964,0.9068,0.29822,0.38425,0.65333,0.000341077,0.000341077,0.000341077
72,3685.84,0.42978,0.41725,1.00487,0.91522,0.88897,0.94991,0.91536,0.29583,0.38106,0.651,0.000330078,0.000330078,0.000330078
73,3845,0.42507,0.40208,1.0023,0.89586,0.89708,0.94395,0.91014,0.2972,0.40685,0.64906,0.000319079,0.000319079,0.000319079
74,4002.22,0.43126,0.40372,1.00528,0.91874,0.89344,0.94289,0.90267,0.29587,0.39739,0.64865,0.00030808,0.00030808,0.00030808
75,4155.3,0.4217,0.39616,1.00413,0.91404,0.89288,0.94629,0.90735,0.29555,0.40259,0.65392,0.000297081,0.000297081,0.000297081
76,4305.33,0.4187,0.39278,0.99894,0.91977,0.90358,0.94628,0.90826,0.29967,0.39319,0.65914,0.000286083,0.000286083,0.000286083
77,4457.15,0.41501,0.39349,0.99867,0.93489,0.87308,0.94144,0.90736,0.29633,0.38419,0.65785,0.000275084,0.000275084,0.000275084
78,4608.8,0.41478,0.38853,0.99349,0.89947,0.89288,0.94472,0.91122,0.29472,0.39632,0.65563,0.000264085,0.000264085,0.000264085
79,4760.69,0.41065,0.38364,0.995,0.90445,0.90553,0.95173,0.91642,0.28473,0.37564,0.64424,0.000253086,0.000253086,0.000253086
80,4912.9,0.41472,0.3759,0.99694,0.91578,0.8848,0.94607,0.91539,0.28678,0.38715,0.6461,0.000242087,0.000242087,0.000242087
81,5061.73,0.40877,0.36796,0.99364,0.92164,0.89493,0.95589,0.92151,0.2835,0.37084,0.64542,0.000231088,0.000231088,0.000231088
