epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5341,0.95664,1.66308,1.30973,0.26232,0.50231,0.33604,0.20815,1.39931,2.23977,1.52668,0.000332317,0.000332317,0.000332317
2,142.873,0.97725,1.51464,1.33016,0.45689,0.38356,0.28125,0.19167,0.96265,2.15754,1.29676,0.00065906,0.00065906,0.00065906
3,206.292,0.9573,1.49223,1.31893,0.19274,0.45733,0.22572,0.12628,1.23,2.61192,1.60964,0.000979204,0.000979204,0.000979204
4,269.264,0.87254,1.39353,1.2717,0.42944,0.60124,0.52841,0.42976,0.73328,1.42947,0.99023,0.0009703,0.0009703,0.0009703
5,332.441,0.83715,1.30062,1.25109,0.52496,0.57454,0.56149,0.42624,0.86916,1.37491,1.09052,0.0009604,0.0009604,0.0009604
6,395.672,0.78972,1.24766,1.22905,0.60231,0.65538,0.66199,0.54516,0.66548,1.10245,0.9964,0.0009505,0.0009505,0.0009505
7,457.639,0.75454,1.17187,1.20194,0.41236,0.67586,0.62569,0.51388,0.65416,1.29025,0.96504,0.0009406,0.0009406,0.0009406
8,520.856,0.76075,1.14361,1.20907,0.52963,0.72919,0.67434,0.55835,0.63852,1.21394,0.88315,0.0009307,0.0009307,0.0009307
9,584.758,0.73417,1.10908,1.19409,0.61198,0.72741,0.71125,0.61816,0.57066,1.03054,0.88328,0.0009208,0.0009208,0.0009208
10,647.104,0.7104,1.07434,1.18079,0.58403,0.68724,0.68963,0.58961,0.58816,1.01641,0.91173,0.0009109,0.0009109,0.0009109
11,709.574,0.70797,1.05445,1.1786,0.53105,0.74037,0.68457,0.59578,0.55991,1.29785,0.88103,0.000901,0.000901,0.000901
12,771.88,0.69539,1.03566,1.17174,0.67471,0.75849,0.76957,0.67786,0.54337,0.90678,0.83835,0.0008911,0.0008911,0.0008911
13,834.032,0.67336,0.99108,1.15553,0.61737,0.76739,0.77025,0.67869,0.51615,0.99121,0.87067,0.0008812,0.0008812,0.0008812
14,899.548,0.67167,0.96683,1.15525,0.60278,0.81482,0.78254,0.69159,0.51868,0.89141,0.85265,0.0008713,0.0008713,0.0008713
15,965.172,0.66173,0.96584,1.15327,0.70787,0.71905,0.80747,0.70129,0.54725,0.85924,0.90283,0.0008614,0.0008614,0.0008614
16,1027.77,0.65218,0.94439,1.1493,0.6871,0.74704,0.77716,0.68619,0.49046,0.85468,0.87028,0.0008515,0.0008515,0.0008515
17,1089.79,0.6435,0.90787,1.13645,0.68788,0.75937,0.78797,0.70155,0.49375,0.82582,0.83162,0.0008416,0.0008416,0.0008416
18,1152.35,0.64409,0.89604,1.14176,0.61017,0.78488,0.75566,0.65731,0.53121,1.06249,0.89084,0.0008317,0.0008317,0.0008317
19,1214.83,0.62619,0.87896,1.13347,0.70469,0.79049,0.80354,0.70354,0.51227,0.79431,0.87458,0.0008218,0.0008218,0.0008218
20,1277.07,0.634,0.88113,1.1373,0.62329,0.76622,0.75416,0.66051,0.53063,1.03802,0.88974,0.0008119,0.0008119,0.0008119
21,1338.29,0.62136,0.84319,1.13147,0.66354,0.82335,0.83638,0.74661,0.47513,0.77849,0.8079,0.000802,0.000802,0.000802
22,1400.05,0.61516,0.85965,1.12815,0.72652,0.81197,0.83658,0.72936,0.50596,0.74762,0.85298,0.0007921,0.0007921,0.0007921
23,1462.1,0.61499,0.82759,1.12716,0.81268,0.78557,0.86789,0.7782,0.45988,0.7295,0.85898,0.0007822,0.0007822,0.0007822
24,1524.14,0.60634,0.80804,1.12472,0.7363,0.77915,0.83136,0.74294,0.47024,0.74495,0.84501,0.0007723,0.0007723,0.0007723
25,1586.61,0.59738,0.8002,1.1183,0.79945,0.7834,0.85923,0.77958,0.46317,0.70457,0.84122,0.0007624,0.0007624,0.0007624
26,1649.12,0.60041,0.79049,1.11914,0.77208,0.79808,0.8568,0.75758,0.49717,0.72238,0.84326,0.0007525,0.0007525,0.0007525
